run_id,lib_conc_ng_ul,frag_size_bp,load_conc_pm,cluster_density_k_mm2,din_score,undetermined_pct,kit_age_days,room_temp_c,lib_method,calib_status,operator_exp_years,failure_prob,run_failed
MGI-SYN-0001,2.85,462,1.33,507,5.4,0.92,135,17.9,pcr_based,within_month,5,0.1,0
MGI-SYN-0002,2.08,424,1.54,695,6.9,1.05,260,25.4,amplicon,within_week,1,0.08,0
MGI-SYN-0003,3.08,355,1.28,776,7.0,3.09,308,16.0,pcr_based,within_month,2,0.33,0
MGI-SYN-0004,4.77,298,1.48,1190,7.9,1.69,247,18.2,amplicon,within_month,8,0.0,0
MGI-SYN-0005,1.98,406,0.84,950,4.5,1.42,159,20.5,pcr_free,within_month,10,0.15,0
MGI-SYN-0006,1.98,381,1.69,610,8.1,5.18,203,23.7,amplicon,within_week,3,0.0,0
MGI-SYN-0007,4.9,422,1.6,937,2.1,5.26,112,20.4,pcr_free,within_month,1,0.38,0
MGI-SYN-0008,3.27,401,1.27,571,5.9,8.7,292,20.9,pcr_free,within_month,3,0.15,0
MGI-SYN-0009,1.76,434,1.86,1045,6.1,2.7,310,21.0,pcr_based,today,1,0.23,0
MGI-SYN-0010,2.92,307,1.98,765,8.1,0.38,119,22.5,amplicon,within_month,2,0.08,0
MGI-SYN-0011,1.77,455,0.96,833,7.0,1.6,17,18.3,pcr_free,within_week,8,0.0,0
MGI-SYN-0012,1.76,366,1.29,1089,4.5,19.56,331,19.2,pcr_free,within_week,10,0.4,0
MGI-SYN-0013,2.51,516,1.29,618,5.2,4.53,227,27.0,wes,within_week,1,0.08,0
MGI-SYN-0014,0.86,295,1.22,599,7.4,6.18,361,23.2,wes,within_week,5,0.3,0
MGI-SYN-0015,0.94,489,1.93,745,6.9,0.1,117,24.3,pcr_free,within_week,3,0.15,0
MGI-SYN-0016,1.68,366,1.52,1037,6.0,3.65,43,22.2,amplicon,within_month,2,0.08,0
MGI-SYN-0017,1.34,298,1.49,577,6.1,0.19,115,21.6,pcr_based,today,2,0.08,0
MGI-SYN-0018,2.6,311,0.8,340,8.3,4.21,283,23.4,amplicon,overdue,5,0.5,0
MGI-SYN-0019,1.41,324,1.85,769,6.1,12.68,37,24.2,wes,within_month,1,0.18,0
MGI-SYN-0020,1.1,384,1.1,949,6.8,17.28,302,24.5,pcr_free,within_week,3,0.4,0
MGI-SYN-0021,4.63,392,1.62,1066,10.0,3.89,113,21.6,wes,today,2,0.08,0
MGI-SYN-0022,1.99,304,1.71,767,4.4,3.06,35,24.9,pcr_based,within_month,3,0.15,0
MGI-SYN-0023,2.3,348,2.14,776,3.7,14.5,132,15.0,amplicon,within_month,2,0.43,0
MGI-SYN-0024,1.09,521,1.08,1058,8.4,5.6,336,24.7,amplicon,today,8,0.3,0
MGI-SYN-0025,1.7,488,0.5,513,5.8,0.34,336,20.7,rna_seq,within_week,5,0.15,0
MGI-SYN-0026,2.35,385,1.67,780,6.4,3.13,228,23.7,pcr_free,within_month,8,0.0,0
MGI-SYN-0027,1.25,353,2.32,884,5.6,1.37,147,20.1,pcr_free,today,3,0.0,0
MGI-SYN-0028,2.69,360,2.1,931,6.5,3.17,122,18.0,pcr_free,overdue,3,0.15,0
MGI-SYN-0029,1.65,399,1.68,758,9.9,3.04,81,23.0,rna_seq,within_month,3,0.0,0
MGI-SYN-0030,1.92,268,1.4,856,8.4,4.36,173,17.5,amplicon,within_week,1,0.18,0
MGI-SYN-0031,1.65,329,1.92,402,8.6,2.21,154,20.8,amplicon,within_week,5,0.0,0
MGI-SYN-0032,5.62,217,1.21,732,4.5,0.9,150,19.6,pcr_free,today,3,0.3,0
MGI-SYN-0033,2.21,382,1.79,932,4.9,3.5,58,21.5,wes,within_month,3,0.15,1
MGI-SYN-0034,1.31,402,1.8,673,1.9,8.87,63,24.4,wes,today,5,0.3,0
MGI-SYN-0035,3.36,311,2.02,861,5.5,5.45,156,20.5,amplicon,within_week,3,0.0,0
MGI-SYN-0036,1.21,476,2.7,930,8.7,2.07,356,22.9,pcr_based,within_month,10,0.15,0
MGI-SYN-0037,2.47,252,1.76,788,7.9,13.71,322,24.2,pcr_free,within_week,3,0.25,0
MGI-SYN-0038,0.84,233,1.4,881,6.6,12.16,168,20.2,amplicon,within_month,5,0.25,0
MGI-SYN-0039,1.15,368,1.59,677,7.0,1.17,166,20.2,amplicon,within_month,3,0.15,1
MGI-SYN-0040,2.46,434,0.89,813,5.8,0.2,85,26.1,pcr_free,within_month,10,0.0,0
MGI-SYN-0041,3.22,485,1.32,960,7.4,6.76,137,21.8,amplicon,overdue,3,0.15,1
MGI-SYN-0042,2.42,313,1.44,878,8.4,8.79,189,23.5,pcr_based,within_month,5,0.0,0
MGI-SYN-0043,2.1,436,1.39,744,4.1,17.19,2,23.5,wes,within_week,2,0.33,0
MGI-SYN-0044,1.91,347,1.66,890,7.5,11.03,106,18.4,pcr_based,within_week,5,0.1,0
MGI-SYN-0045,1.06,336,1.27,979,8.7,4.59,364,19.7,pcr_free,within_week,3,0.3,1
MGI-SYN-0046,1.55,421,2.05,481,6.3,3.78,72,23.1,pcr_based,within_month,3,0.0,0
MGI-SYN-0047,1.77,402,1.6,1059,8.3,0.14,126,15.8,pcr_based,within_week,8,0.1,0
MGI-SYN-0048,3.78,224,1.6,789,10.0,1.42,170,21.4,pcr_free,overdue,10,0.15,0
MGI-SYN-0049,2.64,468,1.47,927,6.8,3.08,205,19.4,wes,within_month,3,0.0,0
MGI-SYN-0050,0.92,460,1.66,1066,7.7,4.95,313,25.3,pcr_free,within_week,8,0.3,0
MGI-SYN-0051,2.62,300,1.93,603,5.7,4.07,337,23.0,pcr_based,within_month,1,0.23,0
MGI-SYN-0052,1.84,382,1.25,722,7.3,6.79,195,25.6,pcr_free,within_week,8,0.0,0
MGI-SYN-0053,1.59,390,1.34,798,7.8,1.64,158,21.9,pcr_free,within_month,5,0.0,0
